CustomerID,Frequency,Monetary,TotalQuantity,FirstPurchase,LastPurchase,Recency,TenureDays,Cluster,Segment
12371,1,1527.96,582,2011-10-11 10:43:00,2011-10-11 10:43:00,60,0,2,Loyal Mid-Value
12372,3,1196.04,788,2011-02-16 12:46:00,2011-09-29 12:12:00,72,224,2,Loyal Mid-Value
12373,1,324.6,196,2011-02-01 13:10:00,2011-02-01 13:10:00,311,0,1,At Risk / Lapsed
12374,1,622.9300000000001,339,2011-11-14 15:37:00,2011-11-14 15:37:00,25,0,3,New / Low Engagement
12375,2,377.5,176,2011-09-02 14:23:00,2011-11-29 10:36:00,11,87,3,New / Low Engagement
12377,2,1548.1200000000001,942,2010-12-20 09:37:00,2011-01-28 15:45:00,315,39,2,Loyal Mid-Value
12378,1,4008.62,2529,2011-08-02 10:34:00,2011-08-02 10:34:00,130,0,2,Loyal Mid-Value
12379,2,777.24,402,2011-06-22 16:32:00,2011-09-19 10:09:00,82,88,2,Loyal Mid-Value
12380,4,2427.81,1110,2011-06-07 09:49:00,2011-11-18 11:27:00,22,164,2,Loyal Mid-Value
12381,3,1474.81,797,2011-08-12 09:57:00,2011-12-05 12:44:00,5,115,3,New / Low Engagement
12383,5,1628.56,1518,2010-12-22 14:28:00,2011-06-08 08:02:00,185,167,2,Loyal Mid-Value
12384,2,425.27,122,2011-08-10 11:23:00,2011-11-11 08:39:00,29,92,3,New / Low Engagement
12386,2,401.9,354,2010-12-08 09:53:00,2011-01-06 12:37:00,338,29,1,At Risk / Lapsed
12388,6,2780.6600000000003,1462,2011-01-17 11:12:00,2011-11-24 12:30:00,16,311,0,Champions
12390,1,504.84000000000003,350,2011-09-21 09:33:00,2011-09-21 09:33:00,80,0,1,At Risk / Lapsed
12391,1,439.66,293,2011-11-18 12:07:00,2011-11-18 12:07:00,22,0,3,New / Low Engagement
12393,4,1582.6000000000001,816,2011-01-11 09:47:00,2011-09-28 15:41:00,72,260,2,Loyal Mid-Value
12394,2,1080.48,808,2011-05-06 14:01:00,2011-10-07 08:08:00,64,153,2,Loyal Mid-Value
12395,12,2682.63,2097,2010-12-03 16:35:00,2011-11-20 15:21:00,19,351,0,Champions
12397,2,2214.9,1250,2011-07-27 14:21:00,2011-11-04 09:52:00,36,99,2,Loyal Mid-Value
12398,1,1435.66,1389,2011-10-25 10:27:00,2011-10-25 10:27:00,46,0,2,Loyal Mid-Value
12399,4,1033.65,1173,2011-03-23 09:42:00,2011-08-12 13:15:00,119,142,2,Loyal Mid-Value
12401,1,69.3,10,2011-02-09 13:50:00,2011-02-09 13:50:00,303,0,1,At Risk / Lapsed
12402,1,195.60000000000002,92,2011-01-20 13:49:00,2011-01-20 13:49:00,323,0,1,At Risk / Lapsed
12403,1,391.70000000000005,94,2011-10-21 10:51:00,2011-10-21 10:51:00,50,0,1,At Risk / Lapsed
12405,1,1390.39,849,2011-07-14 08:52:00,2011-07-14 08:52:00,149,0,1,At Risk / Lapsed
12406,2,3415.3,1818,2011-06-09 10:23:00,2011-11-17 19:22:00,22,161,2,Loyal Mid-Value
12407,5,1507.12,1403,2011-03-20 13:21:00,2011-10-21 10:11:00,50,214,2,Loyal Mid-Value
12408,5,2618.55,1391,2011-03-24 14:46:00,2011-11-07 12:27:00,33,227,2,Loyal Mid-Value
12409,3,11072.67,5551,2011-06-10 12:19:00,2011-09-22 10:38:00,79,103,2,Loyal Mid-Value
12410,2,533.33,207,2011-02-04 10:38:00,2011-02-04 10:39:00,309,0,1,At Risk / Lapsed
12412,3,1142.88,824,2011-06-23 13:51:00,2011-09-26 10:16:00,75,94,2,Loyal Mid-Value
12413,3,686.1,282,2011-01-06 16:12:00,2011-10-04 09:00:00,67,270,2,Loyal Mid-Value
12414,3,442.41,297,2011-02-02 14:51:00,2011-05-06 14:51:00,217,93,1,At Risk / Lapsed
12415,20,124564.53,77373,2011-01-06 11:12:00,2011-11-15 14:22:00,24,313,0,Champions
12417,9,3226.1,1527,2010-12-17 11:51:00,2011-12-06 14:52:00,3,354,0,Champions
12418,1,668.58,407,2011-08-19 11:08:00,2011-08-19 11:08:00,113,0,1,At Risk / Lapsed
12420,1,600.39,345,2011-10-07 08:55:00,2011-10-07 08:55:00,64,0,1,At Risk / Lapsed
12421,4,639.04,478,2011-01-24 15:09:00,2011-11-24 09:07:00,16,303,3,New / Low Engagement
12422,3,683.5600000000001,367,2011-01-19 09:13:00,2011-09-05 09:48:00,96,229,2,Loyal Mid-Value
12423,8,1634.31,1324,2010-12-21 10:54:00,2011-12-09 10:10:00,1,352,0,Champions
12424,2,1760.96,740,2011-06-30 12:06:00,2011-06-30 12:06:00,163,0,2,Loyal Mid-Value
12425,1,777.2,496,2011-09-22 17:31:00,2011-09-22 17:31:00,78,0,1,At Risk / Lapsed
12426,1,510.73,254,2011-05-29 12:26:00,2011-05-29 12:26:00,195,0,1,At Risk / Lapsed
12427,3,699.8,526,2010-12-03 10:44:00,2011-11-18 08:56:00,22,349,3,New / Low Engagement
12428,8,6405.26,3509,2011-03-01 09:33:00,2011-11-14 08:22:00,26,257,0,Champions
12429,4,3388.4,1538,2010-12-09 12:05:00,2011-11-30 17:22:00,9,356,0,Champions
12430,1,216.4,116,2011-10-27 15:09:00,2011-10-27 15:09:00,43,0,1,At Risk / Lapsed
12431,15,6314.95,2889,2010-12-01 10:03:00,2011-11-04 11:55:00,36,338,0,Champions
12432,4,4359.32,1800,2011-06-20 13:27:00,2011-10-28 11:43:00,43,129,2,Loyal Mid-Value
12433,7,13375.87,11071,2010-12-01 13:24:00,2011-12-09 10:02:00,1,372,0,Champions
12434,2,806.14,394,2011-03-24 13:05:00,2011-09-16 12:38:00,85,175,2,Loyal Mid-Value
12435,2,7829.89,2055,2011-03-17 07:40:00,2011-09-21 09:06:00,80,188,2,Loyal Mid-Value
12436,1,429.01,209,2011-09-01 12:09:00,2011-09-01 12:09:00,100,0,1,At Risk / Lapsed
12437,18,4447.41,2894,2011-01-12 14:13:00,2011-12-08 11:35:00,2,329,0,Champions
12438,2,2466.85,1169,2011-07-22 13:29:00,2011-11-25 13:28:00,14,125,2,Loyal Mid-Value
12441,1,155.55,120,2010-12-08 10:45:00,2010-12-08 10:45:00,367,0,1,At Risk / Lapsed
12442,1,144.06,181,2011-12-06 14:22:00,2011-12-06 14:22:00,3,0,3,New / Low Engagement
12444,5,4085.46,1130,2011-06-21 14:00:00,2011-11-18 13:23:00,21,149,2,Loyal Mid-Value
12445,1,77.4,60,2011-11-17 18:43:00,2011-11-17 18:43:00,22,0,3,New / Low Engagement
12446,1,1002.3100000000001,351,2011-10-13 12:50:00,2011-10-13 12:50:00,58,0,1,At Risk / Lapsed
12447,1,431.49,187,2011-04-10 13:25:00,2011-04-10 13:25:00,243,0,1,At Risk / Lapsed
12448,1,365.45,240,2011-10-26 13:46:00,2011-10-26 13:46:00,44,0,1,At Risk / Lapsed
12449,4,3596.29,1523,2011-06-05 15:37:00,2011-11-17 13:46:00,22,164,2,Loyal Mid-Value
12450,2,197.88,128,2011-06-19 14:36:00,2011-07-06 14:41:00,156,17,1,At Risk / Lapsed
12451,5,8995.52,6574,2011-01-19 09:05:00,2011-11-29 08:40:00,11,313,0,Champions
12452,1,348.57,181,2011-11-23 08:05:00,2011-11-23 08:05:00,17,0,3,New / Low Engagement
12453,1,707.09,473,2011-07-28 14:08:00,2011-07-28 14:08:00,134,0,1,At Risk / Lapsed
12454,1,3528.34,1006,2011-10-14 17:13:00,2011-10-14 17:13:00,56,0,2,Loyal Mid-Value
12455,5,2339.86,2084,2011-02-16 09:56:00,2011-09-27 15:31:00,73,223,2,Loyal Mid-Value
12456,3,2581.04,1618,2011-03-30 09:12:00,2011-10-26 14:41:00,44,210,2,Loyal Mid-Value
12457,6,2043.23,835,2011-04-14 18:57:00,2011-10-04 13:13:00,66,172,2,Loyal Mid-Value
12458,2,787.4,502,2011-02-28 10:55:00,2011-09-29 15:25:00,71,213,2,Loyal Mid-Value
12461,1,626.88,282,2011-07-08 10:23:00,2011-07-08 10:23:00,155,0,1,At Risk / Lapsed
12462,2,937.59,527,2011-02-09 14:44:00,2011-11-21 09:11:00,19,284,3,New / Low Engagement
12463,4,1200.78,768,2011-04-12 12:47:00,2011-10-17 13:44:00,53,188,2,Loyal Mid-Value
12464,8,957.05,95,2011-02-03 13:30:00,2011-11-29 13:33:00,10,299,0,Champions
12465,2,682.19,475,2011-06-23 13:37:00,2011-11-22 16:34:00,17,152,3,New / Low Engagement
12468,2,657.5400000000001,362,2011-01-27 13:29:00,2011-06-05 11:36:00,188,128,1,At Risk / Lapsed
12471,27,17388.65,8092,2010-12-10 09:35:00,2011-12-07 15:43:00,2,362,0,Champions
12472,7,6068.11,4120,2010-12-05 14:19:00,2011-11-07 14:01:00,32,336,0,Champions
12473,3,2585.73,2394,2011-06-01 10:15:00,2011-10-17 11:27:00,54,138,2,Loyal Mid-Value
12474,18,6694.09,4798,2011-01-14 10:06:00,2011-11-22 14:39:00,17,312,0,Champions
12475,1,669.38,532,2011-10-17 10:10:00,2011-10-17 10:10:00,54,0,1,At Risk / Lapsed
12476,11,5898.42,2357,2010-12-13 14:39:00,2011-11-24 12:40:00,16,345,0,Champions
12477,6,13219.74,3653,2011-02-11 12:45:00,2011-11-17 09:51:00,23,278,0,Champions
12478,1,545.99,233,2011-12-06 09:56:00,2011-12-06 09:56:00,4,0,3,New / Low Engagement
12479,1,473.2,382,2011-11-28 13:26:00,2011-11-28 13:26:00,11,0,3,New / Low Engagement
12480,4,2885.63,1685,2011-01-07 15:27:00,2011-11-11 14:52:00,28,307,2,Loyal Mid-Value
12481,10,5003.82,3262,2010-12-09 10:13:00,2011-11-17 08:29:00,23,342,0,Champions
12483,8,1910.98,1094,2011-01-04 14:20:00,2011-11-22 17:02:00,17,322,0,Champions
12484,4,3939.32,2166,2011-01-07 14:04:00,2011-11-04 15:18:00,35,301,2,Loyal Mid-Value
12488,3,1244.66,526,2011-09-25 10:34:00,2011-11-30 08:50:00,10,65,3,New / Low Engagement
12489,1,298.93,103,2011-01-07 13:13:00,2011-01-07 13:13:00,336,0,1,At Risk / Lapsed
12490,10,4859.93,3033,2011-01-14 09:13:00,2011-12-04 16:07:00,5,324,0,Champions
12491,1,424.40000000000003,258,2011-11-01 12:18:00,2011-11-01 12:18:00,39,0,3,New / Low Engagement
12492,2,227.21,190,2011-08-26 14:51:00,2011-10-07 15:15:00,63,42,1,At Risk / Lapsed
12493,2,379.74,204,2011-05-26 14:53:00,2011-06-27 10:17:00,166,31,1,At Risk / Lapsed
12494,7,1084.1,698,2010-12-09 11:31:00,2011-11-24 09:34:00,16,349,2,Loyal Mid-Value
12497,1,953.1,1231,2011-09-19 12:29:00,2011-09-19 12:29:00,82,0,1,At Risk / Lapsed
12498,3,349.70000000000005,156,2011-10-13 09:30:00,2011-11-18 12:53:00,21,36,3,New / Low Engagement
12500,11,4059.8199999999997,2667,2011-01-10 09:48:00,2011-11-16 16:20:00,23,310,0,Champions
12501,1,2025.39,1775,2011-01-07 12:28:00,2011-01-07 12:28:00,337,0,1,At Risk / Lapsed
12502,5,2995.87,794,2011-02-03 10:41:00,2011-09-05 11:52:00,96,214,2,Loyal Mid-Value
12504,2,428.04999999999995,87,2011-11-09 14:56:00,2011-11-21 16:02:00,18,12,3,New / Low Engagement
12506,1,73.5,23,2011-04-21 08:54:00,2011-04-21 08:54:00,233,0,1,At Risk / Lapsed
12507,3,1052.81,885,2011-02-14 09:24:00,2011-07-28 17:09:00,134,164,2,Loyal Mid-Value
12508,2,397.88,271,2011-11-10 16:27:00,2011-11-13 15:37:00,26,2,3,New / Low Engagement
12509,1,158.5,54,2011-02-28 14:45:00,2011-02-28 14:45:00,284,0,1,At Risk / Lapsed
12510,2,814.5699999999999,347,2011-01-18 14:04:00,2011-07-20 10:15:00,143,182,1,At Risk / Lapsed
12512,2,132.18,96,2011-10-04 14:53:00,2011-10-04 14:55:00,66,0,1,At Risk / Lapsed
12513,1,558.29,459,2011-08-19 10:51:00,2011-08-19 10:51:00,113,0,1,At Risk / Lapsed
12514,1,1017.6800000000001,440,2011-03-17 16:38:00,2011-03-17 16:38:00,267,0,1,At Risk / Lapsed
12515,1,278.7,128,2010-12-21 15:43:00,2010-12-21 15:43:00,353,0,1,At Risk / Lapsed
12516,2,1186.06,868,2011-06-12 11:37:00,2011-09-23 09:13:00,78,102,2,Loyal Mid-Value
12517,4,2301.6,1351,2011-06-02 15:13:00,2011-11-11 13:57:00,28,161,2,Loyal Mid-Value
12518,5,1840.89,1306,2011-08-21 13:18:00,2011-12-09 10:13:00,1,109,0,Champions
12519,1,276.84000000000003,172,2011-10-07 09:26:00,2011-10-07 09:26:00,64,0,1,At Risk / Lapsed
12520,5,2346.26,1423,2011-03-11 11:35:00,2011-09-21 15:23:00,79,194,2,Loyal Mid-Value
12521,1,545.68,306,2011-07-20 10:51:00,2011-07-20 10:51:00,143,0,1,At Risk / Lapsed
12522,2,156.72,192,2011-10-19 14:41:00,2011-10-31 15:30:00,39,12,3,New / Low Engagement
12523,11,1699.77,860,2011-01-12 09:43:00,2011-11-20 12:55:00,19,312,0,Champions
12524,8,3945.72,3669,2011-01-10 10:35:00,2011-11-30 15:31:00,9,324,0,Champions
12526,3,1172.66,624,2011-09-06 14:19:00,2011-12-09 12:09:00,1,93,3,New / Low Engagement
12527,3,330.71000000000004,233,2011-01-18 12:05:00,2011-09-19 11:55:00,82,243,1,At Risk / Lapsed
12528,6,1645.48,740,2011-01-31 09:05:00,2011-11-30 14:40:00,9,303,0,Champions
12530,4,1500.28,904,2011-01-07 10:04:00,2011-10-11 12:34:00,60,277,2,Loyal Mid-Value
12531,1,125.22,45,2011-11-25 11:12:00,2011-11-25 11:12:00,15,0,3,New / Low Engagement
12532,1,313.83000000000004,151,2011-11-09 13:47:00,2011-11-09 13:47:00,30,0,3,New / Low Engagement
12534,1,981.18,645,2011-08-01 10:26:00,2011-08-01 10:26:00,131,0,1,At Risk / Lapsed
12535,2,716.35,219,2011-06-06 12:47:00,2011-09-09 08:48:00,92,94,1,At Risk / Lapsed
12536,1,4279.71,2801,2011-10-11 14:52:00,2011-10-11 14:52:00,59,0,2,Loyal Mid-Value
12538,1,363.95,191,2011-11-10 17:16:00,2011-11-10 17:16:00,29,0,3,New / Low Engagement
12539,4,5568.35,2067,2011-01-10 09:11:00,2011-11-17 13:30:00,22,311,2,Loyal Mid-Value
12540,17,11580.24,6620,2010-12-13 09:39:00,2011-11-20 11:31:00,20,342,0,Champions
12541,3,841.18,675,2011-03-04 09:32:00,2011-11-10 10:40:00,30,251,2,Loyal Mid-Value
12544,1,316.7,134,2011-11-03 16:15:00,2011-11-03 16:15:00,36,0,3,New / Low Engagement
12545,2,832.39,517,2011-03-25 12:04:00,2011-09-25 13:39:00,75,184,2,Loyal Mid-Value
12546,2,1021.5,628,2011-09-23 09:44:00,2011-10-24 12:09:00,47,31,2,Loyal Mid-Value
12547,2,151.8,132,2011-03-04 12:46:00,2011-05-26 12:38:00,198,82,1,At Risk / Lapsed
12548,1,67.19999999999999,48,2011-06-26 15:35:00,2011-06-26 15:35:00,166,0,1,At Risk / Lapsed
12550,1,824.83,564,2011-09-21 14:35:00,2011-09-21 14:35:00,79,0,1,At Risk / Lapsed
12551,1,168.0,100,2010-12-17 11:23:00,2010-12-17 11:23:00,358,0,1,At Risk / Lapsed
12552,1,317.82,85,2011-10-31 12:11:00,2011-10-31 12:11:00,40,0,3,New / Low Engagement
12553,10,3278.28,1942,2011-01-14 10:42:00,2011-12-01 16:38:00,8,321,0,Champions
12556,2,599.56,355,2011-07-11 13:35:00,2011-10-20 13:06:00,50,100,3,New / Low Engagement
12557,5,11990.960000000001,4384,2010-12-03 12:20:00,2011-11-23 16:59:00,16,355,0,Champions
12558,1,269.96,196,2011-12-02 10:41:00,2011-12-02 10:41:00,8,0,3,New / Low Engagement
12559,2,525.71,281,2011-01-24 10:12:00,2011-02-02 09:49:00,311,8,1,At Risk / Lapsed
12560,2,1918.01,1098,2011-07-19 15:55:00,2011-12-04 13:54:00,5,137,3,New / Low Engagement
12561,1,238.85,177,2011-02-10 11:39:00,2011-02-10 11:39:00,303,0,1,At Risk / Lapsed
12562,7,3385.7400000000002,1757,2011-05-25 12:44:00,2011-12-01 17:20:00,8,190,0,Champions
12564,1,402.9,130,2011-03-23 14:55:00,2011-03-23 14:55:00,261,0,1,At Risk / Lapsed
12565,1,145.92000000000002,80,2011-02-24 10:34:00,2011-02-24 10:34:00,289,0,1,At Risk / Lapsed
12566,1,297.65,262,2011-09-14 14:30:00,2011-09-14 14:30:00,86,0,1,At Risk / Lapsed
12567,10,8609.28,4261,2010-12-05 11:57:00,2011-11-17 11:02:00,23,346,0,Champions
12569,32,3152.69,1747,2011-04-01 13:47:00,2011-12-07 16:24:00,2,250,0,Champions
12571,2,519.61,523,2011-08-10 12:35:00,2011-10-31 10:19:00,40,81,3,New / Low Engagement
12572,2,912.4200000000001,446,2011-10-19 08:20:00,2011-12-01 09:20:00,9,43,3,New / Low Engagement
12573,1,160.54,84,2011-04-26 15:52:00,2011-04-26 15:52:00,227,0,1,At Risk / Lapsed
12574,1,182.45000000000002,59,2011-01-28 09:20:00,2011-01-28 09:20:00,316,0,1,At Risk / Lapsed
12576,5,1315.83,967,2011-02-08 11:31:00,2011-11-04 10:11:00,36,268,2,Loyal Mid-Value
12577,3,622.65,468,2010-12-15 16:21:00,2011-11-04 13:24:00,35,323,2,Loyal Mid-Value
12578,2,2402.51,1182,2011-01-13 15:34:00,2011-11-18 13:30:00,21,308,2,Loyal Mid-Value
12579,1,386.42,282,2011-09-22 17:15:00,2011-09-22 17:15:00,78,0,1,At Risk / Lapsed
12580,1,379.7,236,2011-04-07 10:24:00,2011-04-07 10:24:00,247,0,1,At Risk / Lapsed
12581,1,179.71,160,2011-10-31 08:56:00,2011-10-31 08:56:00,40,0,1,At Risk / Lapsed
12582,2,351.36,296,2011-02-24 11:42:00,2011-04-15 08:45:00,239,49,1,At Risk / Lapsed
12583,15,6705.38,5028,2010-12-01 08:45:00,2011-12-07 08:07:00,3,370,0,Champions
12584,9,2254.15,413,2011-03-04 15:15:00,2011-12-06 09:35:00,4,276,0,Champions
12585,2,1824.1,1267,2010-12-23 12:58:00,2011-04-19 13:39:00,234,117,2,Loyal Mid-Value
12586,1,196.94,79,2011-11-22 16:24:00,2011-11-22 16:24:00,17,0,3,New / Low Engagement
12587,1,104.0,50,2011-12-02 12:47:00,2011-12-02 12:47:00,8,0,3,New / Low Engagement
12588,1,174.9,52,2011-10-31 15:01:00,2011-10-31 15:01:00,39,0,1,At Risk / Lapsed
12589,2,574.68,302,2011-07-18 12:05:00,2011-11-11 10:19:00,29,115,3,New / Low Engagement
12590,1,9341.26,4282,2011-05-12 14:46:00,2011-05-12 14:46:00,211,0,2,Loyal Mid-Value
12591,1,368.85,225,2011-01-26 14:35:00,2011-01-26 14:35:00,317,0,1,At Risk / Lapsed
12592,2,401.6,288,2011-05-10 13:44:00,2011-09-08 15:04:00,92,121,1,At Risk / Lapsed
12593,3,382.1,204,2011-05-05 09:29:00,2011-08-23 12:43:00,109,110,1,At Risk / Lapsed
12594,9,3208.2200000000003,1772,2011-01-21 09:52:00,2011-11-02 12:20:00,38,285,0,Champions
12596,2,450.27,468,2011-04-11 13:22:00,2011-10-19 13:02:00,51,190,3,New / Low Engagement
12597,4,3195.22,2214,2011-03-16 14:00:00,2011-11-20 13:33:00,19,248,2,Loyal Mid-Value
12598,7,2807.08,1952,2011-02-28 11:58:00,2011-11-30 12:18:00,10,275,0,Champions
12599,7,888.58,948,2011-02-08 13:28:00,2011-11-10 13:34:00,29,275,2,Loyal Mid-Value
12600,10,2311.04,758,2010-12-03 12:57:00,2011-11-11 10:29:00,29,342,0,Champions
12601,5,487.06,240,2011-01-11 10:38:00,2011-06-03 10:17:00,190,142,2,Loyal Mid-Value
12602,1,153.12,162,2011-10-12 11:22:00,2011-10-12 11:22:00,59,0,1,At Risk / Lapsed
12603,1,613.1999999999999,56,2011-11-18 10:42:00,2011-11-18 10:42:00,22,0,3,New / Low Engagement
12604,2,236.18,200,2011-03-23 12:06:00,2011-09-21 14:08:00,79,182,1,At Risk / Lapsed
12607,1,1579.51,1228,2011-10-10 16:06:00,2011-10-10 16:06:00,60,0,2,Loyal Mid-Value
12609,3,964.85,639,2011-01-25 15:13:00,2011-09-22 16:34:00,78,240,2,Loyal Mid-Value
12610,4,1747.54,1039,2011-08-05 13:52:00,2011-11-17 09:34:00,23,103,2,Loyal Mid-Value
12611,1,1193.32,846,2011-10-18 13:12:00,2011-10-18 13:12:00,52,0,2,Loyal Mid-Value
12612,1,668.04,260,2011-09-26 15:35:00,2011-09-26 15:35:00,74,0,1,At Risk / Lapsed
12613,4,3092.38,1630,2011-03-22 15:42:00,2011-10-13 14:59:00,57,204,2,Loyal Mid-Value
12614,1,315.6,76,2011-03-07 10:22:00,2011-03-07 10:22:00,278,0,1,At Risk / Lapsed
12615,4,2093.19,1365,2011-06-24 13:35:00,2011-12-07 15:02:00,2,166,0,Champions
12616,2,641.3,280,2011-02-15 14:17:00,2011-09-05 15:17:00,95,202,1,At Risk / Lapsed
12617,1,352.98,210,2011-11-10 14:39:00,2011-11-10 14:39:00,29,0,3,New / Low Engagement
12618,1,137.31,95,2011-11-18 11:10:00,2011-11-18 11:10:00,22,0,3,New / Low Engagement
12619,8,2945.56,3360,2011-03-31 13:10:00,2011-11-23 14:52:00,16,237,0,Champions
12620,3,1303.41,1179,2011-05-19 12:10:00,2011-11-25 10:20:00,15,189,2,Loyal Mid-Value
12621,20,12411.67,7369,2010-12-09 10:16:00,2011-12-08 11:25:00,2,364,0,Champions
12622,1,162.1,68,2011-04-21 16:39:00,2011-04-21 16:39:00,232,0,1,At Risk / Lapsed
12623,1,269.1,189,2011-03-08 13:50:00,2011-03-08 13:50:00,276,0,1,At Risk / Lapsed
12624,2,569.13,351,2011-06-15 12:34:00,2011-08-25 15:04:00,106,71,1,At Risk / Lapsed
12625,2,2413.82,1597,2011-01-24 13:27:00,2011-05-12 09:54:00,212,107,2,Loyal Mid-Value
12626,9,5954.4800000000005,3416,2011-01-17 11:01:00,2011-11-16 16:06:00,23,303,0,Champions
12627,6,4082.53,2730,2011-07-22 13:59:00,2011-11-29 12:07:00,11,129,0,Champions
12628,3,732.46,445,2011-10-06 09:28:00,2011-12-05 13:15:00,4,60,3,New / Low Engagement
12630,2,1030.88,542,2011-10-27 10:41:00,2011-11-30 10:48:00,10,34,3,New / Low Engagement
12631,1,480.5,232,2011-10-13 13:53:00,2011-10-13 13:53:00,57,0,1,At Risk / Lapsed
12633,4,1929.98,1149,2011-02-25 08:44:00,2011-10-12 11:40:00,59,229,2,Loyal Mid-Value
12635,2,1509.18,1162,2011-07-08 08:43:00,2011-09-11 11:04:00,90,65,2,Loyal Mid-Value
12637,8,5804.9,2983,2011-01-20 10:47:00,2011-10-03 13:46:00,67,256,2,Loyal Mid-Value
12638,1,511.69,573,2011-11-06 13:11:00,2011-11-06 13:11:00,33,0,3,New / Low Engagement
12639,1,366.1,198,2011-04-15 12:48:00,2011-04-15 12:48:00,239,0,1,At Risk / Lapsed
12640,3,994.58,301,2011-09-19 12:01:00,2011-11-16 11:52:00,24,57,2,Loyal Mid-Value
12641,1,145.9,71,2011-08-16 13:26:00,2011-08-16 13:26:00,115,0,1,At Risk / Lapsed
12642,3,905.26,546,2011-08-24 09:23:00,2011-11-14 15:03:00,25,82,2,Loyal Mid-Value
12643,6,3041.64,1788,2011-01-11 11:48:00,2011-08-03 12:56:00,128,204,2,Loyal Mid-Value
12644,1,477.90999999999997,325,2011-08-02 10:33:00,2011-08-02 10:33:00,130,0,1,At Risk / Lapsed
12645,4,1631.18,1076,2011-01-27 13:08:00,2011-11-06 12:38:00,34,282,2,Loyal Mid-Value
12646,2,1346.97,897,2011-10-21 12:52:00,2011-12-05 10:14:00,5,44,3,New / Low Engagement
12647,12,3146.82,1399,2010-12-05 14:02:00,2011-11-17 12:56:00,22,346,0,Champions
12648,1,300.05,159,2011-07-08 11:55:00,2011-07-08 11:55:00,155,0,1,At Risk / Lapsed
12649,3,569.51,583,2011-05-11 14:37:00,2011-08-24 14:41:00,107,105,2,Loyal Mid-Value
12650,1,242.44,250,2011-12-06 16:34:00,2011-12-06 16:34:00,3,0,3,New / Low Engagement
12651,1,114.0,78,2011-01-09 12:46:00,2011-01-09 12:46:00,335,0,1,At Risk / Lapsed
12652,1,793.98,498,2011-01-12 15:00:00,2011-01-12 15:00:00,331,0,1,At Risk / Lapsed
12653,2,2209.85,919,2011-02-16 10:53:00,2011-07-14 10:41:00,149,147,2,Loyal Mid-Value
12654,5,529.98,260,2011-02-17 13:16:00,2011-11-29 10:10:00,11,284,3,New / Low Engagement
12656,5,3619.17,1699,2011-04-20 09:20:00,2011-11-22 13:42:00,17,216,2,Loyal Mid-Value
12657,4,1427.18,1032,2011-09-22 11:40:00,2011-11-28 15:47:00,11,67,2,Loyal Mid-Value
12658,1,632.05,317,2011-11-21 10:22:00,2011-11-21 10:22:00,19,0,3,New / Low Engagement
12659,1,73.68,104,2011-11-10 11:53:00,2011-11-10 11:53:00,30,0,1,At Risk / Lapsed
12660,1,227.10000000000002,126,2011-11-28 13:26:00,2011-11-28 13:26:00,11,0,3,New / Low Engagement
